GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
45262	Kingston, NY Urbanized Area	U	110948201	2270641	42.837	0.877	42.038657	-73.989473                                                                                                                 
45289	Kingstree, SC Urban Cluster	C	13802750	0	5.329	0.	33.676472	-79.818995                                                                                                                            
45316	Kingsville, TX Urban Cluster	C	25127781	46494	9.702	0.018	27.508189	-97.862435                                                                                                                    
45343	Kingwood, WV Urban Cluster	C	5988849	0	2.312	0.	39.471697	-79.681148                                                                                                                              
45370	Kinross, MI Urban Cluster	C	8618552	0	3.328	0.	46.255748	-84.465226                                                                                                                               
45397	Kinston, NC Urban Cluster	C	82784631	134044	31.963	0.052	35.282949	-77.613693                                                                                                                     
45424	Kirksville, MO Urban Cluster	C	16945960	43749	6.543	0.017	40.196198	-92.581509                                                                                                                    
45436	Kirtland, NM Urban Cluster	C	25908340	81458	10.003	0.031	36.740734	-108.358498                                                                                                                    
45451	Kissimmee, FL Urbanized Area	U	408406552	10850149	157.687	4.189	28.295011	-81.381012                                                                                                              
45478	Kittanning--Ford City, PA Urban Cluster	C	20136497	1942475	7.775	0.75	40.817896	-79.564026                                                                                                        
45505	Klamath Falls--Altamont, OR Urban Cluster	C	56704563	90579	21.894	0.035	42.207604	-121.756285                                                                                                     
45532	Knightstown, IN Urban Cluster	C	4003066	43202	1.546	0.017	39.800521	-85.528955                                                                                                                    
45586	Knox, IN Urban Cluster	C	4538768	0	1.752	0.	41.292765	-86.616351                                                                                                                                  
45613	Knoxville, IA Urban Cluster	C	8449850	0	3.263	0.	41.320124	-93.104526                                                                                                                             
45640	Knoxville, TN Urbanized Area	U	1134806988	11054305	438.151	4.268	35.91678	-84.024448                                                                                                              
45667	Kodiak, AK Urban Cluster	C	8914313	370438	3.442	0.143	57.804171	-152.373631                                                                                                                       
45694	Kokomo, IN Urbanized Area	U	94061116	120571	36.317	0.047	40.464312	-86.142625                                                                                                                     
45721	Kosciusko, MS Urban Cluster	C	13848464	5758	5.347	0.002	33.058633	-89.584563                                                                                                                      
45748	Kotzebue, AK Urban Cluster	C	2421320	24	0.935	0.	66.893907	-162.587577                                                                                                                            
45761	Krum, TX Urban Cluster	C	4510022	2870	1.741	0.001	33.259263	-97.214978                                                                                                                            
45775	Kuna, ID Urban Cluster	C	13727290	14541	5.3	0.006	43.504938	-116.421387                                                                                                                           
45802	Kutztown, PA Urban Cluster	C	7921412	73580	3.058	0.028	40.514085	-75.781415                                                                                                                       
45829	LaBelle--Port LaBelle, FL Urban Cluster	C	27293944	526007	10.538	0.203	26.76573	-81.389696                                                                                                        
45844	La Center, WA Urban Cluster	C	2714160	0	1.048	0.	45.866427	-122.669794                                                                                                                            
45856	Laconia, NH Urban Cluster	C	33769441	2787901	13.038	1.076	43.536728	-71.460216                                                                                                                    
45883	La Conner, WA Urban Cluster	C	4178945	228779	1.613	0.088	48.388713	-122.510582                                                                                                                    
45910	La Crosse, WI--MN Urbanized Area	U	132044367	3467460	50.983	1.339	43.859769	-91.226381                                                                                                            
45937	Lady Lake--The Villages, FL Urbanized Area	U	184544259	3093692	71.253	1.194	28.962134	-81.993526                                                                                                  
45964	Ladysmith, WI Urban Cluster	C	6841315	710542	2.641	0.274	45.468966	-91.103261                                                                                                                     
45991	LaFayette, GA Urban Cluster	C	15636380	0	6.037	0.	34.717995	-85.278654                                                                                                                            
46018	Lafayette, IN Urbanized Area	U	164981319	2082441	63.7	0.804	40.427209	-86.885007                                                                                                                  
46045	Lafayette, LA Urbanized Area	U	463069015	1168534	178.792	0.451	30.165353	-92.013294                                                                                                               
46099	Lafayette, TN Urban Cluster	C	10279715	0	3.969	0.	36.531405	-86.030417                                                                                                                            
46126	Lafayette--Louisville--Erie, CO Urbanized Area	U	102357168	1519475	39.52	0.587	39.990654	-105.10367                                                                                               
46153	La Follette, TN Urban Cluster	C	58842450	347785	22.719	0.134	36.336947	-84.200697                                                                                                                 
46180	Lago Vista, TX Urban Cluster	C	14101319	0	5.445	0.	30.446771	-97.997909                                                                                                                           
46207	La Grande, OR Urban Cluster	C	15679834	0	6.054	0.	45.329383	-118.078699                                                                                                                           
46234	LaGrange, GA Urban Cluster	C	76415717	711815	29.504	0.275	33.033731	-85.037473                                                                                                                    
46261	Lagrange, IN Urban Cluster	C	5531671	0	2.136	0.	41.647894	-85.417514                                                                                                                              
46315	La Grange, NC Urban Cluster	C	4637427	19594	1.791	0.008	35.305041	-77.790753                                                                                                                      
46328	LaGrange, OH Urban Cluster	C	6637908	102036	2.563	0.039	41.224566	-82.127547                                                                                                                      
46342	La Grange, TX Urban Cluster	C	9309512	203022	3.594	0.078	29.905953	-96.874741                                                                                                                     
46396	Lahaina, HI Urban Cluster	C	16637970	2666	6.424	0.001	20.889362	-156.685202                                                                                                                       
46423	Laie--Hauula, HI Urban Cluster	C	9745376	103737	3.763	0.04	21.672424	-157.941399                                                                                                                  
46450	La Junta, CO Urban Cluster	C	9831227	90160	3.796	0.035	37.984384	-103.550201                                                                                                                      
46465	Lake Arrowhead--Crestline, CA Urban Cluster	C	43848417	3478474	16.93	1.343	34.250088	-117.235479                                                                                                  
46477	Lake Arthur, LA Urban Cluster	C	4286896	41546	1.655	0.016	30.083429	-92.675865                                                                                                                    
46489	Lake Bryant, FL Urban Cluster	C	7076265	554655	2.732	0.214	29.166233	-81.863338                                                                                                                   
46504	Lake Butler, FL Urban Cluster	C	12729736	31309	4.915	0.012	29.999499	-82.355479                                                                                                                   
46531	Lake Charles, LA Urbanized Area	U	329358532	9625750	127.166	3.717	30.244735	-93.25584                                                                                                             
46558	Lake City, FL Urban Cluster	C	64824680	1017567	25.029	0.393	30.179502	-82.62549                                                                                                                   
